,segment_lenght
99428,0 days 00:02:57.920000000
99777,0 days 00:01:57.980000000
99783,0 days 00:03:18.000000000
99791,0 days 00:04:34.150000000
99796,0 days 00:03:19.000000000
100551,0 days 00:05:11.050000000
100579,0 days 00:02:19.020000000
100584,0 days 00:02:20.890000000
100602,0 days 00:04:35.010000000
100613,0 days 00:03:02.130000000
100669,0 days 00:05:00.720000000
100689,0 days 00:04:09.020000000
100696,0 days 00:03:50.820000000
100704,0 days 00:04:04.950000000
100709,0 days 00:05:04.260000000
100722,0 days 00:03:53.100000000
101412,0 days 00:03:29.820000000
101421,0 days 00:04:20.970000000
101431,0 days 00:02:49.010000000
101442,0 days 00:03:44.050000000
101450,0 days 00:02:13.060000000
101457,0 days 00:03:21.090000000
101464,0 days 00:03:51.870000000
101469,0 days 00:03:42.980000000
102061,0 days 00:03:28.840000000
102068,0 days 00:03:54.960000000
103023,0 days 00:07:04.060000000
103030,0 days 00:05:38.150000000
103109,0 days 00:03:22.270000000
103618,0 days 00:03:02.290000000
103623,0 days 00:03:39.000000000
103635,0 days 00:02:46.020000000
103642,0 days 00:03:44.070000000
103650,0 days 00:02:49.810000000
103654,0 days 00:01:50.150000000
104667,0 days 00:06:28.900000000
104676,0 days 00:03:48.090000000
104682,0 days 00:04:56.140000000
105825,0 days 00:05:23.030000000
105840,0 days 00:03:59.840000000
105858,0 days 00:01:44.180000000
105866,0 days 00:06:19.040000000
105877,0 days 00:00:57.810000000
105885,0 days 00:00:18.060000000
105890,0 days 00:00:14.980000000
105896,0 days 00:00:31.050000000
105901,0 days 00:00:18.010000000
106183,0 days 00:01:33.180000000
106193,0 days 00:03:27.890000000
106200,0 days 00:01:09.880000000
106206,0 days 00:02:13.060000000
106213,0 days 00:02:10.220000000
106220,0 days 00:04:21.910000000
106228,0 days 00:02:03.040000000
106239,0 days 00:01:16.030000000
106262,0 days 00:03:24.070000000
106268,0 days 00:02:58.090000000
106276,0 days 00:06:02.860000000
106285,0 days 00:03:52.040000000
106295,0 days 00:06:22.190000000
106313,0 days 00:01:22.130000000
106318,0 days 00:03:26.810000000
106325,0 days 00:05:26.250000000
106482,0 days 00:04:20.050000000
106494,0 days 00:05:03.960000000
106506,0 days 00:05:03.960000000
106514,0 days 00:03:09.880000000
106527,0 days 00:02:31.920000000
107270,0 days 00:05:57.020000000
107282,0 days 00:03:34.150000000
107296,0 days 00:03:55.980000000
107301,0 days 00:03:46.050000000
107314,0 days 00:03:34.240000000
107322,0 days 00:02:34.080000000
107339,0 days 00:05:06.100000000
107345,0 days 00:02:41.930000000
107350,0 days 00:04:37.100000000
107357,0 days 00:04:20.050000000
107365,0 days 00:03:54.860000000
107373,0 days 00:04:12.120000000
107387,0 days 00:02:53.750000000
107399,0 days 00:03:21.840000000
107412,0 days 00:03:41.970000000
107418,0 days 00:03:13.170000000
107426,0 days 00:02:58.930000000
107438,0 days 00:02:48.990000000
107443,0 days 00:05:53.070000000
107881,0 days 00:06:20.820000000
107887,0 days 00:04:22.120000000
107894,0 days 00:05:49.790000000
107903,0 days 00:04:32.120000000
107912,0 days 00:05:49.010000000
107926,0 days 00:05:09.020000000
107931,0 days 00:06:25.940000000
107938,0 days 00:04:25.150000000
107945,0 days 00:03:48.850000000
107949,0 days 00:05:47.050000000
107960,0 days 00:06:26.080000000
107967,0 days 00:04:38.060000000
107984,0 days 00:05:04.970000000
107990,0 days 00:05:05.050000000
107996,0 days 00:05:14.890000000
108005,0 days 00:06:12.960000000
108615,0 days 00:03:45.000000000
108627,0 days 00:04:01.960000000
108823,0 days 00:04:56.180000000
108834,0 days 00:03:42.000000000
109358,0 days 00:05:19.790000000
109369,0 days 00:04:45.960000000
109374,0 days 00:04:41.120000000
109381,0 days 00:05:40.100000000
109390,0 days 00:04:15.000000000
109404,0 days 00:04:21.040000000
109411,0 days 00:04:08.220000000
109419,0 days 00:04:51.820000000
109432,0 days 00:03:13.140000000
109447,0 days 00:03:59.070000000
109459,0 days 00:04:57.940000000
109469,0 days 00:06:31.870000000
109482,0 days 00:07:20.060000000
109490,0 days 00:03:07.900000000
109498,0 days 00:02:54.100000000
109504,0 days 00:07:18.150000000
109520,0 days 00:04:06.770000000
109978,0 days 00:02:49.960000000
109986,0 days 00:03:43.860000000
109992,0 days 00:04:50.070000000
110010,0 days 00:03:25.000000000
110144,0 days 00:06:05.140000000
110155,0 days 00:03:40.880000000
110161,0 days 00:02:33.930000000
110166,0 days 00:04:59.870000000
110676,0 days 00:03:05.140000000
110683,0 days 00:04:00.960000000
110688,0 days 00:03:11.930000000
110693,0 days 00:02:10.060000000
110841,0 days 00:05:16.080000000
110851,0 days 00:04:54.020000000
110864,0 days 00:01:39.910000000
110868,0 days 00:01:19.140000000
110872,0 days 00:07:55.830000000
111590,0 days 00:07:16.940000000
111595,0 days 00:01:45.860000000
111914,0 days 00:04:21.000000000
111922,0 days 00:04:42.000000000
111928,0 days 00:04:48.000000000
111934,0 days 00:04:04.000000000
111942,0 days 00:03:13.000000000
111950,0 days 00:02:14.000000000
111960,0 days 00:04:37.000000000
111965,0 days 00:05:13.000000000
111971,0 days 00:05:23.000000000
111983,0 days 00:03:30.000000000
112428,0 days 00:03:21.930000000
112436,0 days 00:04:20.150000000
112443,0 days 00:03:11.820000000
112463,0 days 00:03:32.870000000
112472,0 days 00:03:28.920000000
112481,0 days 00:02:57.830000000
112493,0 days 00:03:29.140000000
112499,0 days 00:03:04.930000000
112506,0 days 00:02:00.990000000
112511,0 days 00:02:29.950000000
112517,0 days 00:05:48.950000000
112527,0 days 00:02:36.030000000
112535,0 days 00:03:38.070000000
113726,0 days 00:03:33.790000000
113734,0 days 00:02:08.250000000
